koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_sma,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag
FALSE POSITIVE,20.5452375,0.95,2.517,2.19E+02,2.41,0.1437,742,71.57,18.5,5670,4.206,1.264,12.003
CONFIRMED,33.60123371,0.67,4.4056,7.43E+03,8.46,0.1956,495,14.22,247.9,5149,4.447,0.93,15.262
CONFIRMED,6.76652928,0.429,2.9004,4.51E+02,1.97,0.0672,845,120.48,29.2,5149,4.447,0.93,15.262
CONFIRMED,4.347288783,0.025,2.1024,4.52E+02,2.36,0.0524,1174,449.79,39.7,5754,4.345,1.122,15.024
CONFIRMED,4.601811819,0.567,2.2607,7.56E+02,2.35,0.0501,896,152.91,60.8,4986,4.496,0.833,15.024
CONFIRMED,11.18719905,0.387,3.252,3.54E+02,1.55,0.0907,667,46.65,21.9,4986,4.496,0.833,15.024
CONFIRMED,4.220965778,0.705,3.0854,2.26E+03,2.62,0.0418,595,29.68,157.8,3837,4.747,0.517,15.692
FALSE POSITIVE,6.998099523,7.361,2.0488,2.03E+04,588.66,0.0698,853,125.22,192.3,5612,4.566,0.829,15.877
CONFIRMED,5.95489993,0.327,2.3892,1.41E+03,2.33,0.0554,635,38.52,87.2,4261,4.641,0.633,15.019
CONFIRMED,12.03987488,0.286,2.7363,1.25E+03,2.18,0.0886,502,15.06,57.6,4261,4.641,0.633,15.019
CONFIRMED,20.83762895,0.706,2.3734,4.39E+02,1.42,0.1278,418,7.24,14.9,4261,4.641,0.633,15.019
FALSE POSITIVE,8.8111022,1.223,5.0683,4.01E+02,63.66,0.0919,1399,904.92,76.8,6200,3.8,2.404,12.759
CONFIRMED,23.58917143,0.926,5.073,1.20E+03,3.16,0.1429,487,13.34,53.3,4919,4.566,0.721,15.316
CONFIRMED,6.481633073,0.833,3.784,2.99E+02,2.54,0.0683,1145,406.25,125.6,5945,4.213,1.302,12.365
